file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2015_2017-M_M-D_D-B01_B01-1_1-R_R-01_0387_4459189_to_4461322,ཨའོ། ང་ཚོས་ཁྱོད་ག་བ་ཡོད་ལབ་ན།  ,a'o/_nga tshos khyod ga ba yod lab na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2017-M_M-D_D-B01_B01-1_1-R_R-01_0387_4459189_to_4461322.wav,STT_CS,3,31,2.133,wav16k/STT_CS-L-2015_2017-M_M-D_D-B01_B01-1_1-R_R-01_0387_4459189_to_4461322.wav,ཨའོ། ྱ་ཁྱོད་ག་བ་ཡོད་ག་རེ།
STT_CS-L-2013_2012-P_P-D_D-B07_B05-4_4-R_R-01_0125_875452_to_884957,འདི་ཟིམ་དང་། ཆོས་ལྡན་འདི་ཟིམ་དང་། ཁྱོད་སྒྲུང་བཤད་དང་། སྒྲུང་བཤད་དང་ཁྱོད། ཁྱོད་སྒྲུང་བཤད་དང་། ཁྱོད་ཟིམ་ཡག་རེད་ལབ་ཡིན་པ། ད་གིན།  ,'di zim dang /_chos ldan 'di zim dang /_khyod sgrung bshad dang /_sgrung bshad dang khyod/_khyod sgrung bshad dang /_khyod zim yag red lab yin pa/_da gin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2012-P_P-D_D-B07_B05-4_4-R_R-01_0125_875452_to_884957.wav,STT_CS,3,127,9.505,wav16k/STT_CS-L-2013_2012-P_P-D_D-B07_B05-4_4-R_R-01_0125_875452_to_884957.wav,འདི་ཟིམ་དང་། དོན་ལྡན་འདི་ཟིམ་དང་ཁྱོད་སྒྲུང་བཤད་དང་། སྒྲུང་བཤད་དང་ཁྱོད། ཁྱོད་སྒྲུང་བཤད་དང་། ཁྱོད་ཟིམ་ཨ་རེད་ལབ་ཡིན་པ་ ད་གུན།
STT_MV0454_0121_719209_to_725688,རྒན་ལགས་ཁྱེད་རང་ཕར་ཕེབས་བྱས། ཁྱབ་བསྒྲགས་ཡག་པོ་གཅིག་གནང་རོགས་གནང། རེད་རེད། ཡོང་ང་ཡོང་ང། ཕར་ཕེབས་ད། མགྱོགས་པོ་འགྲོ ལོ་ལོ ,rgan lags khyed rang phar phebs byas/_khyab bsgrags yag po gcig gnang rogs gnang/_red red/_yong nga yong nga/_phar phebs da/_mgyogs po 'gro_lo lo_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0454_0121_719209_to_725688.wav,STT_MV,3,119,6.479,wav16k/STT_MV0454_0121_719209_to_725688.wav,རྒན་ལགས་ཁྱེད་རང་ཕར་ཕེབས་བྱས་ཁྱབ་བསྒྲགས་ཡག་པོ་གཅིག་གནང་རོགས་གནང་། རེད་རེད། ཡོང་ང་ཡོང་ང་ ཕེབས་ད། མགྱོགས་པོ་འགྲོ ཐེད། ལོ་ལོ་ལོ།
STT_MV0470_0004_160016_to_163368,ཁོང་ཚོ་ཡང་སྙིང་སུ་རེད། ཨ་བོ་ལགས། ཁོང་ཚོ་ང་ཚོའི་མི་རེད་དེ།  ,khong tsho yang snying su red/_a bo lags/_khong tsho nga tsho'i mi red de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0470_0004_160016_to_163368.wav,STT_MV,3,59,3.352,wav16k/STT_MV0470_0004_160016_to_163368.wav,ཁོང་ཚོ་ཡག་སཉིས་སུ་རེད། ཨ་ཁུ་ལགས། ཁོང་ཚོ་ང་ཚོའི་མི་རེད་དེ།
STT_MV0176_0112_1735362_to_1743814,དེ་ནས་དམག་འཐབ་གྲ་སྒྲིག་བྱེད། དེ་མཐའ་མའི་དམག་འཐབ་དེ་རེད།  ,de nas dmag 'thab gra sgrig byed/_de mtha' ma'i dmag 'thab de red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0176_0112_1735362_to_1743814.wav,STT_MV,3,57,8.452,wav16k/STT_MV0176_0112_1735362_to_1743814.wav,དེ་ནས་དམག་འཐབ་གྲ་སྒྲིག་བྱས། དི་མཐའ་མའི་དམག་འཐབ་དེ་རེད།
STT_NS_M0429_0012_72568_to_78540,ད་གཙོ་བོ་ང་ཚོ་ཡོད་བ་མི་རིགས་དབྱེ་འབྱེད་ལབ་ཡ་དེ་ཡོད་བ། གང་འདྲའི་སི་སླེབས་ཀི་རེད་ལབ་ན། ད་སོ་སོ་གི་བསམ་བློ་བཏང་སྟངས་ལ་རག ,da gtso bo nga tsho yod ba mi rigs dbye 'byed lab ya de yod ba/_gang 'dra'i si slebs ki red lab na/_da so so gi bsam blo btang stangs la rag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0429_0012_72568_to_78540.wav,STT_NS,3,118,5.972,wav16k/STT_NS_M0429_0012_72568_to_78540.wav,ད་གཙོ་བོ་ང་ཚོ་ཡོད་བ་མི་རིགས་དབྱེ་འབྱེད་ལབ་ཡ་དེ་ཡོད་བ། ག་འདྲའི་སེ་སླེབས་ཀི་རེད་ལབ་ན། ད་སོ་སོ་གི་བསམ་བློ་བཏང་སྟངས་ལ་རག
STT_MV0470_0008_180882_to_190881,ཨེ། ཡིན་ནས་ཁོང་ཚོ། ཐུགས་ཁྲལ་གནང་དགོས་མ་རེད་ཨ་ཁུ་ལགས། ཁོང་ཚོ་གནས་སྐབས་རིང་དྲན་པ་འཐོར་པ་རེད། དྲན་པ་སོས་པ་ད་ག་ཁོང་ཚོས་ཁྱེད་རང་ལ། མུ་མཐུད་ཞབས་ཕྱི་ཞུ་གི་རེད།  ,e/_yin nas khong tsho/_thugs khral gnang dgos ma red a khu lags/_khong tsho gnas skabs ring dran pa 'thor pa red/_dran pa sos pa da ga khong tshos khyed rang la/_mu mthud zhabs phyi zhu gi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0470_0008_180882_to_190881.wav,STT_MV,3,154,9.999,wav16k/STT_MV0470_0008_180882_to_190881.wav,ཡིན་ནས་ཁོང་ཚོ་ ཐུགས་ཁྲལ་གནང་དགོས་མ་རེད་ ཨ་ཁུ་ལགས། ཁོང་ཚོ་གནས་སྐབས་རིང་དྲན་པ་ཐོར་པ་རེད། དྲན་པ་གསོས་པ་ད་ག ཁོང་ཚོས་ཁྱེད་རང་ལ་མུ་མཐུད་ཞབས་ཕྱི་ཞུ་དགོས་རེད།
STT_MV0470_0011_201762_to_204966,ནང་རུལ་པ་རྩད་གཅོད་གཏང་ཡ་དེ་རེད་མ་གཏོགས།  ,nang rul pa rtsad gcod gtang ya de red ma gtogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0470_0011_201762_to_204966.wav,STT_MV,3,41,3.204,wav16k/STT_MV0470_0011_201762_to_204966.wav,ནང་རུལ་པ་རྩད་གཅོད་གཏང་ཡ་དེ་རེད་མ་གཏོགས།
STT_MV0470_0014_225818_to_226820,རྒྱལ་སྲས་མཆོག ,rgyal sras mchog_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0470_0014_225818_to_226820.wav,STT_MV,3,14,1.002,wav16k/STT_MV0470_0014_225818_to_226820.wav,རྒྱལ་སྲས་མཆོག
STT_MV0470_0016_236548_to_241945,ཨ་བོ་ལགས་ཁོ་རང་གིས། རྒྱལ་པོ་རིན་པོ་ཆེ་ལ་ཞུས་ན་འགྲིག་གི་རེད།  ,a bo lags kho rang gis/_rgyal po rin po che la zhus na 'grig gi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0470_0016_236548_to_241945.wav,STT_MV,3,61,5.397,wav16k/STT_MV0470_0016_236548_to_241945.wav,ཨ་ཁུ་ལགས་ཁོ་རང་གིས། རྒྱལ་པོ་རིན་པོ་ཆེ་ལ་ཞུས་ན་འགྲིག་གི་རེད།
